Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,IP Address,Longitude,Latitude,Country,City,Region,Postal,Astronomy/astrophysics:Would you like to contribute to or participate in a mini-symposium on:,Geophysics:Would you like to contribute to or participate in a mini-symposium on:,"Meteorology, climatology and atmospheric science:Would you like to contribute to or participate in a mini-symposium on:",Bio-informatics:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Gaming:Would you like to contribute to or participate in a mini-symposium on:,Aerospace:Would you like to contribute to or participate in a mini-symposium on:,Genomics:Would you like to contribute to or participate in a mini-symposium on:,Renewable Energy:Would you like to contribute to or participate in a mini-symposium on:,Medical Imaging:Would you like to contribute to or participate in a mini-symposium on:,Computer vision:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Would you like to contribute to or participate in a mini-symposium on:: Comments
48,1/24/13 12:46,1/24/13 12:46,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1359049562475&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1359049562475&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=bx9B-N52p5Fc7Z6LkFK5zGsd4vc.,1359049562_5101735abeec57.29254838,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.45 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.45 Safari/537.22",152.3.159.77,-78.901901,35.995399,United States,Durham,NC,27701,,,,,,,,,,Medical Imaging,,,
49,1/24/13 13:25,1/24/13 13:25,Complete,,,,English,,,1359051901_51017c7dbc3d29.12744418,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",216.107.202.66,-72.134201,43.722599,United States,Hanover,NH,3755,,,,,,,,,,Medical Imaging,Computer vision,,
50,1/24/13 15:19,1/24/13 15:19,Complete,,,,English,http://t.co/aZYRQFAK,http://t.co/aZYRQFAK,1359058774_51019756e59e85.14999111,Mozilla/5.0 (X11; Linux i686; rv:10.0.12) Gecko/20130104 Firefox/10.0.12,Mozilla/5.0 (X11; Linux i686; rv:10.0.12) Gecko/20130104 Firefox/10.0.12,140.90.173.131,-97.512604,35.222198,United States,Norman,OK,73072,,,"Meteorology, climatology and atmospheric science",,,,,,,,,,
51,1/24/13 15:20,1/24/13 15:23,Complete,,,,English,http://t.co/aZYRQFAK,http://t.co/aZYRQFAK,1359058847_5101979f28d181.11583894,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",130.49.247.78,-80.024803,40.434399,United States,Pittsburgh,PA,15260,,,,,Other (please specify),,,,,,,Molecular simulation,"Molecular simulation encompasses parts of computational chem, molecular modeling, biomolecular simulation, soft condensed matter simulation, etc.  "
52,1/24/13 15:32,1/24/13 15:32,Complete,,,,English,http://t.co/aZYRQFAK,http://t.co/aZYRQFAK,1359059533_51019a4dc16562.65654844,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17",129.176.151.28,-92.462196,44.030102,United States,Rochester,MN,55901,,,,Bio-informatics,,,,,,Medical Imaging,,,
53,1/24/13 15:45,1/24/13 15:47,Complete,,,,English,http://www.facebook.com/home.php,http://www.facebook.com/home.php,1359060325_51019d657fd7b6.56650581,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",116.203.93.231,72.825798,18.975,India,Mumbai,16,,,,,,,,,,,Medical Imaging,Computer vision,,
54,1/24/13 15:48,1/24/13 15:49,Complete,,,,English,http://t.co/aZYRQFAK,http://t.co/aZYRQFAK,1359060530_51019e3287ac39.38686087,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10A551 Twitter for iPhone",68.178.96.188,-122.655403,45.518398,United States,Portland,OR,97200,,Geophysics,"Meteorology, climatology and atmospheric science",,Other (please specify),,,,,,,Hydrology,
55,1/24/13 16:27,1/24/13 16:28,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1359062879_5101a75f9a9258.05447316,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safari/537.22",76.185.99.88,-96.799301,32.809799,United States,Dallas,TX,75201,,,,,Other (please specify),,,,,Medical Imaging,Computer vision,Signal Processing,
56,1/24/13 16:58,1/24/13 17:01,Complete,,,,English,,,1359064728_5101ae98c79dd8.09422111,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",66.60.75.50,-96.799301,32.809799,United States,Dallas,TX,75201,,Geophysics,,,Other (please specify),Gaming,Aerospace,,,,,Natural Language Processing,
57,1/24/13 19:14,1/24/13 19:15,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1359072869_5101ce654752e0.45923852,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",108.50.39.169,-76.632797,39.491798,United States,Cockeysville,MD,21030,Astronomy/astrophysics,,,,,,,,,,,,
58,1/24/13 19:58,1/24/13 19:59,Complete,,,,English,,,1359075532_5101d8cc1195d9.45433516,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,70.192.194.127,-117.304001,34.255699,United States,Crestline,CA,92325,Astronomy/astrophysics,,"Meteorology, climatology and atmospheric science",,,,,,,,,,
59,1/24/13 19:59,1/24/13 20:00,Complete,,,,English,,,1359075584_5101d9007c9920.35212284,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",70.192.194.127,-117.304001,34.255699,United States,Crestline,CA,92325,Astronomy/astrophysics,,,,,,,,,,,,
60,1/24/13 22:48,1/24/13 22:49,Complete,,,,English,,,1359085710_5102008e9042f4.47248363,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0,96.244.115.132,-76.632896,39.402,United States,Towson,MD,21204,Astronomy/astrophysics,,,,,Gaming,,,,,,,
61,1/25/13 1:21,1/25/13 1:25,Complete,,,,English,http://t.co/aZYRQFAK,http://t.co/aZYRQFAK,1359094914_510224828db050.67121470,Mozilla/5.0 (Linux; U; Android 2.3.4; en-gb; SonyEricssonST15i Build/4.0.2.A.0.62) AppleWebKit/533.1,"Mozilla/5.0 (Linux; U; Android 2.3.4; en-gb; SonyEricssonST15i Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",10.17.70.110,,,,,,,Astronomy/astrophysics,,,,Other (please specify),Gaming,Aerospace,,,,,automobile aerodynamics fluid dynamics,Scipy 2012 was a good event. All the beat for 2013 :-D cheers
62,1/25/13 9:23,1/25/13 9:23,Complete,,,,English,http://getpocket.com/a/queue/,http://getpocket.com/a/queue/,1359123798_51029556139dc7.90211734,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safari/537.22",129.15.40.69,-97.444504,35.208599,United States,Norman,OK,73019,,Geophysics,"Meteorology, climatology and atmospheric science",,,,,,,,,,
63,1/27/13 8:28,1/27/13 8:29,Complete,,,,English,,,1359293294_51052b6ec5b254.84733788,"Mozilla/5.0 (iPhone3,1; iPhone; U; CPU OS 5_1_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (K","Mozilla/5.0 (iPhone3,1; iPhone; U; CPU OS 5_1_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (KHTML, like Gecko) Mobile/N90AP (gzip)",109.171.137.224,45,25,Saudi Arabia,,,,,,,,Other (please specify),,,,,,,Numerical methods for differential equations,
64,1/28/13 11:42,1/28/13 11:45,Complete,,,,English,,,1359391337_5106aa6962de93.41200768,Mozilla/5.0 (X11; U; Linux i686 (x86_64); en-US; rv:1.9.2.23) Gecko/20110927 Red Hat/3.6-2.el5_7 Fir,Mozilla/5.0 (X11; U; Linux i686 (x86_64); en-US; rv:1.9.2.23) Gecko/20110927 Red Hat/3.6-2.el5_7 Firefox/3.6.23,128.165.123.189,-106.295303,35.863899,United States,Los Alamos,NM,87545,,,,,Other (please specify),,,,,,,Data assimilation,It's not an apllication specific topic.  The tools are general and work for lots of applications.
65,1/30/13 12:05,1/30/13 12:06,Complete,,,,English,,,1359565499_510952bbd427e3.48467747,"Mozilla/5.0 (iPod4,1; iPhone; U; CPU OS 6_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (KHTML","Mozilla/5.0 (iPod4,1; iPhone; U; CPU OS 6_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (KHTML, like Gecko) Mobile/N81AP (gzip)",114.40.202.99,120.349998,22.633301,Taiwan,Kaohsiung,4,,,Geophysics,"Meteorology, climatology and atmospheric science",,,,,,,,Computer vision,,
66,1/30/13 12:24,1/30/13 12:32,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1359566649611&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1359566649611&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=3ejlg3s5gthNjYEWKx1DbKsB-Fk.,1359566650_5109573a62e391.50109582,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,64.132.104.226,-78.832603,35.8601,United States,Morrisville,NC,27560,,,,Bio-informatics,Other (please specify),,,,,,,Cheminformatics,I've been using various Python machine learning tools to build predictive models for neglected diseases drug discovery [open-source tools / public data / reproducioble research]
67,1/31/13 2:19,1/31/13 2:20,Complete,,,,English,,,1359616784_510a1b10c2cfd7.95391459,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17",24.193.254.55,-73.945297,40.728001,United States,Brooklyn,NY,11222,,,,,,,,,,Medical Imaging,Computer vision,,
